Logging time,IoU/train,PixelwiseAcc/train,Loss/train,IoU/val,PixelwiseAcc/val,Loss/val,epoch_time_consume
2024-05-02 15:38:46.010709,0.8698651195,0.9294725060,0.0304193757,,,,0:02:26.421388
2024-05-02 16:22:57.278274,0.8787149787,0.9346751571,0.0278077032,,,,0:44:11.258017
2024-05-02 16:24:32.727045,0.8796309233,0.9351683855,0.0273893289,,,,0:01:35.445785
2024-05-02 16:26:08.125909,0.8804697394,0.9356202483,0.0272847041,,,,0:01:35.395188
2024-05-02 16:28:38.006745,0.8807571530,0.9358441234,0.0272063259,0.8589690477,0.9228636920,0.0360866296,0:02:29.877303
2024-05-02 16:30:11.113296,0.8801139593,0.9354545474,0.0273766555,,,,0:01:33.096972
2024-05-02 16:31:45.844157,0.8783992529,0.9344953895,0.0278563313,,,,0:01:34.728138
2024-05-02 16:33:20.619061,0.8790552020,0.9348348379,0.0277943574,,,,0:01:34.772423
2024-05-02 16:34:54.893524,0.8759630322,0.9331538081,0.0284364596,,,,0:01:34.271798
2024-05-02 16:37:03.294100,0.8736065626,0.9316923022,0.0291116238,0.8540806472,0.9194327295,0.0355051393,0:02:08.398078
2024-05-02 16:38:38.194234,0.8718038201,0.9306927323,0.0296321232,,,,0:01:34.897258
2024-05-02 16:40:12.218078,0.8734092116,0.9316551685,0.0292298794,,,,0:01:34.021561
2024-05-02 16:41:49.485812,0.8708782792,0.9301668406,0.0299759172,,,,0:01:37.265395
2024-05-02 16:43:23.891962,0.8750036359,0.9325737357,0.0287582073,,,,0:01:34.403899
2024-05-02 16:45:34.351888,0.8734280467,0.9316281676,0.0290885326,0.8513437659,0.9177689403,0.0367484596,0:02:10.457405
2024-05-02 16:47:09.589510,0.8761292696,0.9331888556,0.0285561401,,,,0:01:35.233864
2024-05-02 16:48:43.879219,0.8762581348,0.9332809448,0.0285780113,,,,0:01:34.287500
2024-05-02 16:50:17.341359,0.8775494099,0.9339899421,0.0280181095,,,,0:01:33.459486
2024-05-02 16:51:51.233912,0.8778111935,0.9341808558,0.0281097256,,,,0:01:33.890093
2024-05-02 16:53:59.852242,0.8806614280,0.9358168244,0.0273184497,0.8549778610,0.9204393476,0.0365502201,0:02:08.615608
2024-05-02 16:55:34.789507,0.8812695146,0.9361882210,0.0271285400,,,,0:01:34.934024
2024-05-02 16:57:09.674001,0.8806441426,0.9358187914,0.0272243507,,,,0:01:34.881886
2024-05-02 16:58:43.044133,0.8839740157,0.9377346635,0.0264934003,,,,0:01:33.367669
2024-05-02 17:00:18.206643,0.8838545680,0.9377067685,0.0264310557,,,,0:01:35.160061
2024-05-02 17:02:26.023315,0.8865435719,0.9392048717,0.0257905759,0.8625522852,0.9251107275,0.0355445296,0:02:07.814050
2024-05-02 17:04:00.644286,0.8876796365,0.9398896098,0.0255081523,,,,0:01:34.611568
2024-05-02 17:05:35.483199,0.8887563348,0.9404793382,0.0252492800,,,,0:01:34.836245
2024-05-02 17:07:10.528611,0.8897104859,0.9410587549,0.0249521844,,,,0:01:35.042358
2024-05-02 17:08:46.907361,0.8908882737,0.9417489767,0.0246655531,,,,0:01:36.375744
2024-05-02 17:10:54.847742,0.8923823833,0.9425147772,0.0243586507,0.8534481674,0.9191772193,0.0388251664,0:02:07.937872
2024-05-02 17:12:31.780431,0.8937160373,0.9433234334,0.0239879284,,,,0:01:36.929706
2024-05-02 17:14:06.399382,0.8948813677,0.9439783096,0.0236397237,,,,0:01:34.616712
2024-05-02 17:15:40.082996,0.8958736062,0.9445681572,0.0233943518,,,,0:01:33.681019
2024-05-02 17:17:13.837934,0.8962818384,0.9448332787,0.0233139507,,,,0:01:33.752597
2024-05-02 17:19:21.624053,0.8973591924,0.9454360008,0.0230165701,0.8557609469,0.9209237397,0.0385805266,0:02:07.783516
2024-05-02 17:20:56.445116,0.8987700343,0.9462091327,0.0226388648,,,,0:01:34.817823
2024-05-02 17:22:31.110488,0.8989837766,0.9462929964,0.0225414447,,,,0:01:34.662816
2024-05-02 17:24:06.785353,0.9002717137,0.9470966458,0.0222419165,,,,0:01:35.672348
2024-05-02 17:25:43.052355,0.9011655450,0.9475723505,0.0220024697,,,,0:01:36.264610
2024-05-02 17:27:51.430577,0.9016241431,0.9478062987,0.0218499936,0.8566270322,0.9215894938,0.0391068989,0:02:08.375516
2024-05-02 17:29:24.722179,0.9019199610,0.9480063915,0.0218969956,,,,0:01:33.287944
2024-05-02 17:30:57.291855,0.9022252560,0.9481723309,0.0216932278,,,,0:01:32.567349
2024-05-02 17:32:30.727305,0.9025406837,0.9483192563,0.0216859747,,,,0:01:33.432909
2024-05-02 17:34:04.145770,0.9030328393,0.9486134052,0.0215138160,,,,0:01:33.415888
2024-05-02 17:36:13.086738,0.9035032988,0.9489060044,0.0213471260,0.8591611981,0.9230582267,0.0381156337,0:02:08.938541
2024-05-02 17:37:47.478463,0.9035449028,0.9489052296,0.0213749316,,,,0:01:34.388062
2024-05-02 17:39:20.900786,0.9036875367,0.9489775896,0.0213511810,,,,0:01:33.419872
2024-05-02 17:40:54.813757,0.9037322998,0.9489935040,0.0213899240,,,,0:01:33.910089
2024-05-02 17:42:29.035250,0.9040304422,0.9491659999,0.0212794859,,,,0:01:34.218971
2024-05-02 17:44:37.862733,0.9040236473,0.9491879344,0.0212006345,0.8577730954,0.9222036302,0.0390355205,0:02:08.824533
